,location_id,location,coordinates,categories
93,93,PERPUSNAS,,"['HistoricalPlace', 'sightSeeing']"
94,94,NUSA TENGGARA BARAT,,"['beach', 'mountain', 'outbond']"
95,95,MUSEUM NASIONAL,,"['sightSeeing', 'photoHunting', 'HistoricalPlace']"
96,96,DISNEYLAND PARIS,,"['photoHunting', 'amusementPark', 'shopping']"
97,97,NEW YORK,,"['shopping', 'photoHunting', 'mall']"
98,98,MARINA BAY STREET CIRCUIT,,"['amusementPark', 'outbond']"
99,99,GUNUNG AGUNG,,"['mountain', 'outbond']"
100,100,MUSEUM LOUVRE,,"['HistoricalPlace', 'artGallery', 'photoHunting']"
101,101,CAPADOCIA,,"['photoHunting', 'sightSeeing']"
102,102,REYKJAVIK,,"['mountain', 'sightSeeing', 'photoHunting']"
103,103,GUNUNG PANGRANGO,,"['mountain', 'outbond']"
104,104,TEBING CITATAH,,"['mountain', 'outbond']"
105,105,TOKYO ,,"['shopping', 'sightSeeing']"
106,106,MUSEUM GHIBLI,,"['artGallery', 'photoHunting']"
107,107,PANTAI ANCOL,,"['beach', 'sightSeeing']"
108,108,MALIOBORO,,"['shopping', 'culinary']"
109,109,PANTAI KLAYAR,,"['beach', 'sightSeeing']"
110,110,PANTAI TELENGRIA,,['beach']
111,111,PANTAI WATU KARUNG,,['beach']
112,112,DIENG,,"['mountain', 'lake']"
113,113,MUSEUM ANGKUT,,['HistoricalPlace']
114,114,MALIOBORO,,['shopping']
115,115,NUSA DUA,,"['beach', 'sightSeeing']"
116,116,CANDI PRAMBANAN,,"['HistoricalPlace', 'mountain']"
117,117,GUA GONG,,['mountain']
118,118,GUA TABUHAN,,['mountain']
119,119,WAKATOBI,,['beach']
120,120,MUSEUM GEOLOGI BANDUNG,,['HistoricalPlace']
